Timestamp (ms),Piezo Value Left,Piezo Value Right,Label
22136,13,12, left
22222,15,14, left
22308,17,15, left
22394,13,12, left
22480,13,13, middle
22566,16,15, left
22652,14,13, left
22738,11,12, right
22826,16,15, left
22912,14,13, left
22998,12,12, middle
23084,15,15, middle
23170,15,14, left
23256,12,12, middle
23342,14,13, left
23428,16,15, left
23514,13,12, left
23600,12,12, middle
23686,16,15, left
23772,14,13, left
23858,12,11, left
23944,15,14, left
24030,17,14, left
24116,13,12, left
24202,13,13, middle
24288,17,15, left
24374,14,13, left
24460,12,12, middle
24546,16,15, left
24632,15,13, left
24718,11,12, right
24806,16,15, left
24892,16,14, left
24978,12,11, left
25064,15,14, left
25150,18,15, left
25236,13,12, left
25322,14,12, left
25408,17,15, left
25494,14,13, left
25580,12,11, left
25666,16,15, left
25752,16,14, left
25838,11,11, middle
25924,15,13, left
26010,17,15, left
26096,13,12, left
26182,12,12, middle
26268,16,15, left
26354,14,13, left
26440,11,12, right
26526,15,14, left
26612,16,14, left
26698,9,12, right
26783,10,13, right
26871,13,15, right
26957,11,12, right
27043,11,13, right
27129,15,15, middle
27215,13,13, middle
27301,10,11, right
27387,15,14, left
27473,14,14, middle
27559,12,11, left
27645,14,13, left
27731,16,14, left
27817,13,12, left
27903,12,13, right
27989,16,15, left
28075,15,13, left
28161,10,11, right
28247,16,14, left
28333,16,14, left
28419,13,12, left
28505,14,13, left
28591,18,15, left
28677,13,12, left
28763,13,12, left
28849,17,15, left
28937,15,12, left
29023,13,12, left
29109,17,15, left
29195,15,13, left
29281,12,11, left
29367,15,14, left
29453,16,14, left
29539,11,11, middle
29625,13,13, middle
29711,16,15, left
29797,12,12, middle
29883,11,12, right
29969,16,15, left
30055,14,13, left
30217,12,12, middle
30303,10,12, right
30389,14,15, right
30475,8,13, right
30560,1,11, right
30645,4,13, right
30730,14,15, right
30816,27,13, left
30902,31,11, left
30988,22,13, left
31076,0,11, right
31161,0,9, right
31245,0,9, right
31329,0,8, right
31413,0,6, right
31497,0,2, right
31581,0,0, middle
31665,0,0, middle
31749,0,0, middle
31833,0,0, middle
31917,0,0, middle
32001,0,0, middle
32085,0,0, middle
32169,0,41, right
32254,0,50, right
32339,0,103, right
32425,0,123, right
32511,2,190, right
32597,1,196, right
32683,0,168, right
32769,0,146, right
32855,0,136, right
32941,0,138, right
33027,0,133, right
33115,0,106, right
33201,0,65, right
33286,9,29, right
33371,13,0, left
33456,3,0, left
33540,0,0, middle
33624,0,0, middle
33708,14,36, right
33794,28,145, right
33881,6,93, right
33966,0,65, right
34051,0,78, right
34136,0,150, right
34222,0,185, right
34308,0,174, right
34394,0,132, right
34480,0,94, right
34565,0,78, right
34650,8,113, right
34736,11,147, right
34823,13,136, right
34910,12,116, right
34997,0,68, right
35082,0,48, right
35169,6,62, right
35254,15,78, right
35340,10,93, right
35426,0,71, right
35511,1,61, right
35596,6,68, right
35681,7,76, right
35766,5,79, right
35851,5,73, right
35936,5,75, right
36021,3,83, right
36106,5,92, right
36191,6,93, right
36276,3,84, right
36361,1,77, right
36446,2,88, right
36531,4,97, right
36616,4,98, right
36701,0,88, right
36786,1,81, right
36871,9,84, right
36956,10,86, right
37042,7,63, right
37127,6,38, right
37214,13,65, right
37300,13,76, right
37386,5,34, right
37471,6,18, right
37556,9,35, right
37641,10,55, right
37727,5,48, right
37812,5,43, right
37897,6,40, right
37982,5,33, right
38067,5,29, right
38152,9,46, right
38237,7,32, right
38322,2,19, right
38407,5,24, right
38492,9,34, right
38577,7,33, right
38662,7,37, right
38747,9,52, right
38832,14,64, right
38918,11,63, right
39004,7,53, right
39089,6,52, right
39174,8,53, right
39261,6,43, right
39346,0,36, right
39431,3,44, right
39516,5,40, right
39601,0,28, right
39686,0,20, right
39771,1,16, right
39856,6,22, right
39941,4,23, right
40026,3,24, right
40111,3,20, right
40196,6,21, right
40281,4,18, right
40366,1,16, right
40451,4,20, right
40536,5,23, right
40621,7,24, right
40706,2,22, right
40791,3,16, right
40876,6,23, right
40961,6,29, right
41046,2,25, right
41131,4,22, right
41216,8,26, right
41301,6,27, right
41388,3,25, right
41473,6,24, right
41558,8,26, right
41643,6,25, right
41728,5,23, right
41813,7,23, right
41898,8,26, right
41983,5,25, right
42068,4,24, right
42153,7,25, right
42238,8,27, right
42323,6,25, right
42408,5,24, right
42493,7,26, right
42578,9,26, right
42663,7,23, right
42748,4,21, right
42833,6,21, right
42918,7,23, right
43003,6,23, right
43088,4,20, right
43173,5,23, right
43258,8,26, right
43343,7,24, right
43430,5,21, right
43515,7,23, right
43600,9,25, right
43685,5,23, right
43770,4,21, right
43855,8,23, right
43940,9,24, right
44025,5,22, right
44110,5,22, right
44195,8,24, right
44280,8,24, right
44365,5,20, right
44450,5,20, right
44535,8,24, right
44620,8,24, right
44705,6,20, right
44790,5,20, right
44875,8,23, right
44960,9,23, right
45045,7,20, right
45130,5,20, right
45215,8,23, right
45300,9,23, right
45385,6,20, right
45470,5,19, right
45557,9,22, right
45642,9,21, right
45727,6,19, right
45812,6,19, right
45897,9,22, right
45982,9,21, right
46067,5,18, right
46152,6,19, right
46237,9,23, right
46322,9,23, right
46407,6,18, right
46492,6,20, right
46577,9,23, right
46662,10,21, right
46748,5,17, right
46833,6,19, right
46918,9,22, right
47003,8,21, right
47088,5,18, right
47173,6,19, right
47258,9,21, right
47343,9,21, right
47428,6,19, right
47513,6,19, right
47600,10,21, right
47686,7,19, right
47771,7,18, right
47856,7,20, right
47941,10,21, right
48027,6,18, right
48112,6,18, right
48197,8,20, right
48282,10,20, right
48368,7,18, right
48453,8,17, right
48538,10,19, right
48624,9,19, right
48709,6,17, right
48794,7,17, right
48879,10,20, right
48965,9,19, right
49050,6,16, right
49135,7,17, right
49220,10,20, right
49306,9,18, right
49391,6,16, right
49476,8,18, right
49561,10,20, right
49649,7,16, right
49734,7,17, right
49819,10,19, right
49905,9,18, right
49990,6,16, right
50075,7,17, right
50160,10,19, right
50246,9,17, right
50331,6,15, right
50416,7,17, right
50501,10,20, right
50587,10,18, right
50673,6,15, right
50758,8,18, right
50843,10,19, right
50929,8,16, right
51014,6,15, right
51099,9,18, right
51184,10,20, right
51270,7,16, right
51355,7,15, right
51440,9,18, right
51525,10,19, right
51611,6,15, right
51698,8,17, right
51783,11,19, right
51869,8,16, right
51954,6,15, right
52039,8,17, right
52124,10,19, right
52210,8,16, right
52295,7,15, right
52380,9,17, right
52465,10,18, right
52551,7,15, right
52636,7,15, right
52721,10,17, right
52807,10,17, right
52893,6,14, right
52978,9,16, right
53063,11,18, right
53149,9,16, right
53234,5,13, right
53319,8,16, right
53404,12,18, right
53490,9,16, right
53575,7,14, right
53660,10,16, right
53748,10,16, right
53834,6,12, right
53919,8,13, right
54004,11,16, right
54090,8,14, right
54175,7,13, right
54260,9,15, right
54345,11,16, right
54431,8,12, right
54516,6,10, right
54601,8,13, right
54686,8,13, right
54771,6,12, right
54856,6,13, right
54941,9,15, right
55026,11,15, right
55112,8,13, right
55197,8,14, right
55282,11,16, right
55368,10,16, right
55454,7,14, right
55539,8,16, right
55624,10,18, right
55710,9,16, right
55797,7,15, right
55882,11,18, right
55968,11,18, right
56054,8,15, right
56139,9,16, right
56224,12,19, right
56310,10,16, right
56396,7,16, right
56481,10,18, right
56567,12,17, right
56653,8,14, right
56738,8,15, right
56823,10,17, right
56909,11,17, right
56995,7,13, right
57080,9,15, right
57165,11,18, right
57251,8,15, right
57336,7,13, right
57421,10,17, right
57507,11,18, right
57593,8,14, right
57678,8,15, right
57763,11,17, right
57851,9,15, right
57936,7,13, right
58021,10,15, right
58107,11,17, right
58193,8,14, right
58278,8,14, right
58363,10,16, right
58449,10,16, right
58535,7,13, right
58620,9,15, right
58705,11,17, right
58791,8,15, right
58876,7,13, right
58961,11,16, right
59047,12,16, right
59133,6,13, right
59218,7,14, right
59303,11,16, right
59389,10,16, right
59475,8,13, right
59560,9,14, right
59645,12,17, right
59731,9,15, right
59816,7,13, right
59903,11,16, right
59989,11,15, right
1,12,11, left
83,11,11, middle
166,11,10, left
250,9,9, middle
332,8,9, right
414,7,9, right
496,8,8, middle
578,9,10, right
661,10,11, right
745,11,11, middle
829,10,11, right
913,8,10, right
996,8,10, right
1079,9,10, right
1163,12,12, middle
1248,11,11, middle
1333,8,9, right
1416,10,9, left
1500,20,8, left
1584,20,8, left
1668,37,7, left
1752,154,6, left
1837,219,8, left
1922,213,11, left
2010,157,9, left
2095,62,9, left
2179,76,14, left
2264,151,16, left
2350,185,15, left
2436,203,14, left
2522,141,16, left
2608,82,14, left
2693,37,12, left
2778,47,13, left
2863,110,14, left
2949,122,11, left
3035,27,11, left
3120,0,13, right
3204,0,15, right
3288,8,13, right
3372,0,10, right
3456,0,12, right
3540,0,16, right
3624,0,16, right
3708,0,15, right
3792,61,14, left
3877,40,11, left
3962,0,9, right
4045,0,9, right
4130,21,8, left
4214,40,8, left
4298,25,11, left
4383,9,14, right
4467,0,12, right
4551,0,10, right
4635,0,9, right
4718,6,11, right
4802,28,13, left
4887,0,12, right
4971,0,10, right
5055,1,11, right
5139,33,14, left
5224,39,15, left
5309,61,11, left
5394,84,11, left
5479,97,13, left
5564,105,12, left
5650,67,8, left
5734,21,7, left
5818,0,7, right
5901,0,8, right
6072,248,11, left
6158,187,13, left
6244,65,12, left
6329,13,11, left
6416,37,12, left
6501,132,15, left
6587,138,14, left
6673,32,12, left
6758,0,13, right
6842,0,14, right
6925,78,13, left
7010,161,13, left
7096,114,13, left
7182,27,15, left
7267,0,15, right
7350,29,15, left
7435,54,14, left
7520,0,16, right
7604,0,16, right
7687,34,14, left
7772,32,14, left
7857,9,16, right
7941,11,15, right
8026,25,14, left
8111,29,12, left
8196,18,13, left
8281,1,16, right
8365,0,16, right
8448,0,14, right
8534,17,14, left
8619,17,16, left
8704,0,17, right
8787,2,14, right
8870,26,13, left
8955,34,14, left
9040,23,14, left
9125,16,14, left
9210,5,12, right
9294,7,11, right
9377,16,12, left
9462,10,14, right
9547,1,13, right
9631,22,11, left
9716,7,12, right
9800,0,14, right
9883,18,14, left
9968,23,12, left
