Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle,Label
74222,36,59,759, right
74335,39,61,760, right
74450,37,59,760, right
74563,36,58,759, right
74676,39,61,760, right
74789,36,59,760, right
74902,36,58,759, right
75015,39,61,761, right
75128,36,60,760, right
75241,39,60,760, right
75354,39,61,760, right
75467,36,59,759, right
75580,39,60,760, right
75693,39,61,760, right
75806,36,58,760, right
75919,40,61,760, right
76032,38,60,760, right
76145,37,58,760, right
76258,41,61,760, right
76371,38,60,760, right
76484,38,59,760, right
76599,40,61,760, right
76712,38,60,760, right
76825,37,58,758, right
76938,40,62,760, right
77051,37,60,760, right
77164,37,59,760, right
77277,40,62,761, right
77390,37,59,759, right
77503,38,60,760, right
77616,40,62,760, right
77729,36,59,760, right
77842,38,60,760, right
77955,39,62,761, right
78068,36,59,760, right
78181,39,61,760, right
78294,38,61,760, right
78407,37,59,761, right
78520,40,62,760, right
78633,38,61,760, right
78748,36,59,759, right
78861,39,61,761, right
78974,39,61,762, right
79087,36,59,759, right
79200,39,61,760, right
79313,37,60,761, right
79426,37,59,759, right
79539,40,61,760, right
79652,37,60,760, right
79765,37,59,760, right
79878,40,62,760, right
79991,36,59,760, right
80104,38,59,760, right
80217,40,62,761, right
80330,36,58,760, right
80443,39,60,760, right
80556,39,61,760, right
80669,36,58,759, right
80782,39,61,759, right
80897,39,62,760, right
81010,36,59,759, right
81123,38,60,759, right
81236,39,62,760, right
81349,36,58,761, right
81462,39,61,760, right
81575,39,61,760, right
81688,35,59,759, right
81801,39,61,760, right
81914,38,60,759, right
82027,36,59,760, right
82140,39,62,760, right
82253,37,60,760, right
82366,36,59,760, right
82479,40,62,760, right
82592,37,60,761, right
82705,37,60,759, right
82818,39,62,760, right
82931,36,59,759, right
83046,37,59,760, right
83159,39,62,760, right
83272,36,59,760, right
83385,37,60,760, right
83498,39,61,760, right
83611,36,59,759, right
83724,38,60,760, right
83837,38,61,760, right
83950,35,58,759, right
84063,39,60,760, right
84176,38,61,760, right
84289,35,58,759, right
84402,39,60,759, right
84515,37,59,760, right
84628,36,59,760, right
84741,39,61,759, right
84935,37,61,761, right
85048,37,59,759, right
85161,39,61,760, right
85276,39,61,760, right
85389,36,58,759, right
85502,39,61,760, right
85615,38,60,759, right
85728,36,59,760, right
85841,39,62,760, right
85954,36,60,761, right
86067,37,59,760, right
86180,40,62,760, right
86293,37,59,760, right
86406,37,59,759, right
86519,40,62,760, right
86632,36,59,759, right
86745,38,60,759, right
86858,39,61,760, right
86971,36,58,760, right
87084,39,60,759, right
87197,39,61,760, right
87310,35,58,759, right
87425,38,60,759, right
87538,39,62,760, right
87651,36,58,759, right
87764,39,60,760, right
87877,38,61,760, right
87990,35,58,760, right
88103,39,61,760, right
88216,38,60,761, right
88329,36,58,760, right
88442,39,61,760, right
88555,37,60,759, right
88668,36,59,759, right
88781,39,62,760, right
88894,37,59,760, right
89007,37,59,760, right
89120,39,62,761, right
89233,35,59,759, right
89346,37,60,759, right
89459,39,62,761, right
89574,36,59,759, right
89687,37,59,759, right
89800,39,62,760, right
89913,35,59,759, right
