Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle,Label,,
3933,107,74,762, left,,
4046,90,72,763, left,,
4158,86,73,761, left,,
4268,98,73,761, left,,
4380,95,73,761, left,,
4492,79,74,761, left,,
4604,84,71,762, left,,
4716,127,74,761, left,,
4829,110,71,762, left,,
4942,40,70,763, right,,
5054,83,72,761, left,,
5166,130,70,761, left,,
5279,46,72,762, right,,
5391,38,70,762, right,,
5503,105,69,761, left,,
5616,67,71,761, right,,
5728,82,70,762, left,,
5840,26,70,760, right,,
5952,29,70,761, right,,
6064,54,70,761, right,,
6175,4,72,762, right,,
6285,5,69,761, right,,
6396,33,72,761, right,,
6510,42,70,761, right,,
6622,30,70,760, right,,
6734,34,71,760, right,,
6846,41,69,760, right,,
6958,36,71,762, right,,
7070,35,69,760, right,,
7182,45,70,760, right,,
7294,40,70,761, right,,
7406,37,68,761, right,,
7518,45,71,761, right,,
7630,39,68,760, right,,
7742,43,70,760, right,,
7854,45,70,762, right,,
7966,40,68,762, right,,
8078,43,71,761, right,,
8190,47,68,760, right,,
8302,57,70,761, right,,
8414,40,69,762, right,,
8526,41,68,761, right,,
8640,78,70,761, left,,
8752,99,68,761, left,,
8864,99,69,761, left,,
8976,90,70,762, left,,
9088,99,68,762, left,,
9200,103,71,762, left,,
9313,80,68,762, left,,
9425,65,69,762, right,,
9537,62,70,763, right,,
9649,69,67,762, left,,
9761,73,70,762, left,,
9873,61,68,762, right,,
9985,67,70,761, right,,
10097,75,69,762, left,,
10210,63,68,761, right,,
10323,69,70,763, right,,
10436,71,69,761, left,,
10549,69,68,762, left,,
10662,67,70,762, right,,
10775,77,68,761, left,,
10890,128,68,762, left,,
11004,133,71,761, left,,
11118,64,68,762, right,,
11231,0,65,761, left,,
11343,0,66,762, left,,
11455,0,62,762, left,,
11567,0,62,761, left,,
11679,49,63,761, right,,
11792,39,63,761, right,,
11905,47,65,760, right,,
12018,66,64,761, left,,
12131,0,64,760, left,,
12243,0,67,760, left,,
