Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle, rf Distance left, rf Distance right, Label
113304, 24, 58, 751, 48.00, 92.00, left
113511, 24, 59, 752, 48.00, 92.00, left
113718, 25, 59, 752, 48.00, 92.00, left
113925, 25, 58, 752, 48.00, 92.00, left
114135, 25, 59, 752, 48.00, 92.00, left
114342, 25, 58, 752, 48.00, 92.00, left
114549, 24, 58, 752, 48.00, 91.00, left
114744, 24, 58, 751, 48.00, 91.00, left
114951, 24, 59, 751, 48.00, 91.00, left
115158, 24, 59, 752, 48.00, 91.00, left
115365, 24, 58, 752, 48.00, 91.00, left
115572, 23, 59, 752, 48.00, 92.00, left
115767, 24, 58, 752, 48.00, 92.00, left
115974, 23, 59, 752, 48.00, 92.00, left
116181, 24, 59, 752, 48.00, 92.00, left
116388, 24, 58, 752, 48.00, 92.00, left
116595, 23, 59, 752, 48.00, 92.00, left
116805, 24, 58, 752, 48.00, 92.00, left
117012, 23, 59, 752, 48.00, 92.00, left
117219, 23, 59, 752, 48.00, 92.00, left
117426, 23, 59, 752, 48.00, 92.00, left
